index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW)
681,16/1/2018,Northern,623.55,644.93,30.31,32.13,96.18,105.54
682,16/1/2018,Western,1125.62,1231.37,25.19,26.12,41.22,32.11
683,16/1/2018,Southern,636.85,529.73,45.38,60.63,70.04,71.00
684,16/1/2018,Eastern,494.84,475.27,,,21.76,22.70
685,16/1/2018,NorthEastern,31.88,33.47,,,11.28,6.96
686,17/1/2018,Northern,623.55,659.30,30.31,32.17,96.18,105.05
687,17/1/2018,Western,1125.62,1257.74,25.19,26.19,41.22,26.53
688,17/1/2018,Southern,636.85,541.54,45.38,61.55,70.04,71.06
689,17/1/2018,Eastern,484.15,490.72,,,21.76,20.24
690,17/1/2018,NorthEastern,31.88,33.53,,,11.28,7.18
691,18/1/2018,Northern,623.55,648.54,30.31,32.13,96.18,103.61
692,18/1/2018,Western,1125.62,1254.10,25.19,26.15,41.22,20.82
693,18/1/2018,Southern,636.85,536.01,45.38,61.55,70.04,69.20
694,18/1/2018,Eastern,484.15,492.04,,,21.76,24.34
695,18/1/2018,NorthEastern,31.88,31.99,,,11.28,7.45
696,19/1/2018,Northern,623.55,657.23,30.31,31.99,96.18,100.20
697,19/1/2018,Western,1125.62,1246.84,25.19,26.15,41.22,26.83
698,19/1/2018,Southern,636.85,540.79,45.38,60.66,70.04,69.36
699,19/1/2018,Eastern,484.15,486.65,,,21.76,23.98
700,19/1/2018,NorthEastern,31.88,31.43,,,11.28,7.58
701,20/1/2018,Northern,619.13,652.49,30.31,32.02,96.18,100.83
702,20/1/2018,Western,1125.62,1252.19,25.19,26.12,41.22,17.65
703,20/1/2018,Southern,636.85,528.85,45.38,60.69,70.04,77.78
704,20/1/2018,Eastern,484.15,487.57,,,21.76,23.02
705,20/1/2018,NorthEastern,31.88,32.79,,,11.28,7.48
706,21/1/2018,Northern,619.13,629.00,30.31,32.16,96.18,98.32
707,21/1/2018,Western,1125.62,1229.76,25.19,26.15,41.22,15.03
708,21/1/2018,Southern,636.85,507.00,45.38,60.85,70.04,54.31
709,21/1/2018,Eastern,484.15,483.46,,,21.76,20.39
710,21/1/2018,NorthEastern,31.88,32.93,,,11.28,7.14
711,22/1/2018,Northern,619.13,645.75,30.31,32.15,96.18,99.14
712,22/1/2018,Western,1125.62,1241.51,25.19,26.18,41.22,20.64
713,22/1/2018,Southern,638.65,521.46,45.38,61.16,70.04,76.09
714,22/1/2018,Eastern,486.42,490.75,,,21.76,21.86
715,22/1/2018,NorthEastern,31.88,31.81,,,11.28,7.58
716,23/1/2018,Northern,616.44,612.90,30.31,32.05,96.18,95.80
717,23/1/2018,Western,1125.62,1231.10,25.19,26.18,41.22,25.13
718,23/1/2018,Southern,638.65,541.55,45.38,64.58,70.04,81.67
719,23/1/2018,Eastern,486.42,493.79,,,21.76,22.28
720,23/1/2018,NorthEastern,31.88,32.09,,,11.28,7.32
721,24/1/2018,Northern,616.44,618.00,30.31,32.22,96.18,95.70
722,24/1/2018,Western,1125.62,1216.75,25.19,26.21,41.22,21.11
723,24/1/2018,Southern,636.46,570.30,45.38,63.98,70.04,75.45
724,24/1/2018,Eastern,486.42,497.51,,,21.76,22.35
