index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Thermal Generation Estimation Error
710,21/1/2018,NorthEastern,31.88,32.93,1.05
711,22/1/2018,Northern,619.13,645.75,26.62
712,22/1/2018,Western,1125.62,1241.51,115.89
713,22/1/2018,Southern,638.65,521.46,-117.19
714,22/1/2018,Eastern,486.42,490.75,4.33
715,22/1/2018,NorthEastern,31.88,31.81,-0.07
716,23/1/2018,Northern,616.44,612.9,-3.54
717,23/1/2018,Western,1125.62,1231.1,105.48
718,23/1/2018,Southern,638.65,541.55,-97.1
719,23/1/2018,Eastern,486.42,493.79,7.37
720,23/1/2018,NorthEastern,31.88,32.09,0.21
721,24/1/2018,Northern,616.44,618,1.56
722,24/1/2018,Western,1125.62,1216.75,91.13
723,24/1/2018,Southern,636.46,570.3,-66.16
724,24/1/2018,Eastern,486.42,497.51,11.09
725,24/1/2018,NorthEastern,31.88,31.83,-0.05
726,25/1/2018,Northern,613.98,644.94,30.96
727,25/1/2018,Western,1119.83,1214.98,95.15
728,25/1/2018,Southern,636.46,596.86,-39.6
729,25/1/2018,Eastern,486.42,491.14,4.72
730,25/1/2018,NorthEastern,31.88,31.95,0.07
731,26/1/2018,Northern,619.27,608.45,-10.82
732,26/1/2018,Western,1123.66,1158.43,34.77
733,26/1/2018,Southern,636.46,567.09,-69.37
734,26/1/2018,Eastern,486.42,471.99,-14.43
735,26/1/2018,NorthEastern,31.88,30.49,-1.39
736,27/1/2018,Northern,619.27,629.54,10.27
737,27/1/2018,Western,1127.26,1169.33,42.07
738,27/1/2018,Southern,636.46,591.65,-44.81
739,27/1/2018,Eastern,483.54,481.14,-2.4
740,27/1/2018,NorthEastern,31.88,32.4,0.52
741,28/1/2018,Northern,622.18,612.51,-9.67
742,28/1/2018,Western,1127.26,1185.44,58.18
743,28/1/2018,Southern,636.46,568.36,-68.1
744,28/1/2018,Eastern,483.54,484.25,0.71
745,28/1/2018,NorthEastern,31.88,32.71,0.83
746,29/1/2018,Northern,622.18,644.05,21.87
747,29/1/2018,Western,1127.26,1198.62,71.36
748,29/1/2018,Southern,640.29,586.52,-53.77
749,29/1/2018,Eastern,483.54,483.73,0.19
750,29/1/2018,NorthEastern,31.88,28.29,-3.59
751,30/1/2018,Northern,622.18,636.39,14.21
752,30/1/2018,Western,1127.26,1210.6,83.34
753,30/1/2018,Southern,640.29,574.39,-65.9
754,30/1/2018,Eastern,483.54,476.47,-7.07
755,30/1/2018,NorthEastern,31.88,33.29,1.41
756,31/1/2018,Northern,626.18,643.76,17.58
757,31/1/2018,Western,1127.26,1193.56,66.3
758,31/1/2018,Southern,640.29,574.81,-65.48
759,31/1/2018,Eastern,483.54,497.16,13.62
760,31/1/2018,NorthEastern,31.88,34.13,2.25
761,1/2/2018,Northern,611.46,635.44,23.98
762,1/2/2018,Western,1143.81,1202.72,58.91
763,1/2/2018,Southern,642.31,571.51,-70.8
764,1/2/2018,Eastern,489.39,507.35,17.96
765,1/2/2018,NorthEastern,31.93,33.47,1.54
766,2/2/2018,Northern,611.46,650.47,39.01
767,2/2/2018,Western,1143.81,1214.09,70.28
768,2/2/2018,Southern,642.31,568.66,-73.65
769,2/2/2018,Eastern,489.39,499.88,10.49
770,2/2/2018,NorthEastern,31.93,33.76,1.83
771,3/2/2018,Northern,611.46,631.03,19.57
772,3/2/2018,Western,1149.12,1217.42,68.3
773,3/2/2018,Southern,642.31,554.89,-87.42
774,3/2/2018,Eastern,485.39,492.35,6.96
775,3/2/2018,NorthEastern,31.93,34.41,2.48
776,4/2/2018,Northern,611.46,600.66,-10.8
777,4/2/2018,Western,1149.12,1192.48,43.36
778,4/2/2018,Southern,642.31,518.87,-123.44
779,4/2/2018,Eastern,485.39,474.38,-11.01
780,4/2/2018,NorthEastern,31.93,32.97,1.04
781,5/2/2018,Northern,611.46,621.07,9.61
782,5/2/2018,Western,1149.12,1220.83,71.71
783,5/2/2018,Southern,642.31,558.4,-83.91
784,5/2/2018,Eastern,485.39,482.33,-3.06
785,5/2/2018,NorthEastern,31.93,34.31,2.38
786,6/2/2018,Northern,614.11,636.43,22.32
787,6/2/2018,Western,1149.12,1247.96,98.84
788,6/2/2018,Southern,643.74,587.07,-56.67
789,6/2/2018,Eastern,488,489.71,1.71
790,6/2/2018,NorthEastern,31.93,34.55,2.62
791,7/2/2018,Northern,614.11,632.69,18.58
792,7/2/2018,Western,1149.12,1240.16,91.04
793,7/2/2018,Southern,643.74,604.75,-38.99
794,7/2/2018,Eastern,488,504.1,16.1
795,7/2/2018,NorthEastern,31.93,34.5,2.57
796,8/2/2018,Northern,614.11,635.96,21.85
797,8/2/2018,Western,1149.12,1248.73,99.61
798,8/2/2018,Southern,643.74,577.04,-66.7
799,8/2/2018,Eastern,488,507.01,19.01
800,8/2/2018,NorthEastern,31.93,34.07,2.14
801,9/2/2018,Northern,614.11,651.09,36.98
802,9/2/2018,Western,1167.72,1238.89,71.17
803,9/2/2018,Southern,643.74,592.07,-51.67
804,9/2/2018,Eastern,488,507.11,19.11
805,9/2/2018,NorthEastern,31.93,34.05,2.12
806,10/2/2018,Northern,614.11,650.88,36.77
807,10/2/2018,Western,1167.72,1222.2,54.48
808,10/2/2018,Southern,643.74,576.32,-67.42
809,10/2/2018,Eastern,488,513.4,25.4
810,10/2/2018,NorthEastern,31.93,33.51,1.58
811,11/2/2018,Northern,610.71,598.19,-12.52
812,11/2/2018,Western,1167.72,1149.44,-18.28
813,11/2/2018,Southern,643.74,529.47,-114.27
814,11/2/2018,Eastern,488,499.29,11.29
815,11/2/2018,NorthEastern,31.93,33.36,1.43
816,12/2/2018,Northern,608.21,555.2,-53.01
817,12/2/2018,Western,1167.72,1119.22,-48.5
818,12/2/2018,Southern,643.74,582.48,-61.26
819,12/2/2018,Eastern,488,499.69,11.69
820,12/2/2018,NorthEastern,31.93,33.48,1.55
821,13/2/2018,Northern,608.21,566.09,-42.12
822,13/2/2018,Western,1167.72,1137.89,-29.83
823,13/2/2018,Southern,643.74,585.93,-57.81
824,13/2/2018,Eastern,488,500.87,12.87
825,13/2/2018,NorthEastern,31.93,33.36,1.43
826,14/2/2018,Northern,608.21,598.77,-9.44
827,14/2/2018,Western,1167.72,1103.2,-64.52
828,14/2/2018,Southern,643.74,569.84,-73.9
829,14/2/2018,Eastern,488,497.47,9.47
830,14/2/2018,NorthEastern,31.93,32.66,0.73
831,15/2/2018,Northern,616.21,607.95,-8.26
832,15/2/2018,Western,1166.32,1139.32,-27
833,15/2/2018,Southern,643.74,574.36,-69.38
834,15/2/2018,Eastern,488,490.15,2.15
835,15/2/2018,NorthEastern,31.93,32.49,0.56
836,16/2/2018,Northern,616.21,627.46,11.25
837,16/2/2018,Western,1166.32,1187.35,21.03
838,16/2/2018,Southern,643.74,605.11,-38.63
839,16/2/2018,Eastern,490.85,496.94,6.09
840,16/2/2018,NorthEastern,31.93,33.2,1.27
841,17/2/2018,Northern,616.21,611.01,-5.2
842,17/2/2018,Western,1166.32,1189.54,23.22
843,17/2/2018,Southern,643.74,617.08,-26.66
844,17/2/2018,Eastern,490.85,508.87,18.02
845,17/2/2018,NorthEastern,31.93,32.85,0.92
846,18/2/2018,Northern,616.21,582.75,-33.46
847,18/2/2018,Western,1166.32,1185.76,19.44
848,18/2/2018,Southern,650.74,580.96,-69.78
849,18/2/2018,Eastern,490.85,502.79,11.94
850,18/2/2018,NorthEastern,31.93,32.43,0.5
851,19/2/2018,Northern,626.01,582.78,-43.23
852,19/2/2018,Western,1166.32,1194.11,27.79
853,19/2/2018,Southern,650.74,618.36,-32.38
854,19/2/2018,Eastern,490.85,504.64,13.79
855,19/2/2018,NorthEastern,31.93,33.01,1.08
856,20/2/2018,Northern,620.85,607.92,-12.93
857,20/2/2018,Western,1166.32,1205.79,39.47
858,20/2/2018,Southern,650.74,644.61,-6.13
859,20/2/2018,Eastern,490.85,523.94,33.09
860,20/2/2018,NorthEastern,31.93,33.58,1.65
861,21/2/2018,Northern,630.85,608.66,-22.19
862,21/2/2018,Western,1166.32,1200.22,33.9
863,21/2/2018,Southern,650.74,650.81,0.07
864,21/2/2018,Eastern,490.85,537.61,46.76
865,21/2/2018,NorthEastern,31.93,33.8,1.87
866,22/2/2018,Northern,633.56,616.84,-16.72
867,22/2/2018,Western,1168.03,1213.6,45.57
868,22/2/2018,Southern,650.74,647.79,-2.95
869,22/2/2018,Eastern,490.85,545.31,54.46
870,22/2/2018,NorthEastern,31.93,33.77,1.84
871,23/2/2018,Northern,633.56,622.09,-11.47
872,23/2/2018,Western,1169.43,1211.49,42.06
873,23/2/2018,Southern,650.74,657.13,6.39
874,23/2/2018,Eastern,490.85,523.9,33.05
875,23/2/2018,NorthEastern,31.93,33.92,1.99
876,24/2/2018,Northern,633.56,592.86,-40.7
877,24/2/2018,Western,1169.43,1203.97,34.54
878,24/2/2018,Southern,650.74,632.25,-18.49
879,24/2/2018,Eastern,490.85,523,32.15
880,24/2/2018,NorthEastern,31.93,33.13,1.2
881,25/2/2018,Northern,632.89,575.09,-57.8
882,25/2/2018,Western,1169.43,1155.68,-13.75
883,25/2/2018,Southern,650.74,608.12,-42.62
