index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Thermal Generation Estimation Error
1128,15/4/2018,Southern,650.59,632.69,-17.9
1129,15/4/2018,Eastern,466.34,522.98,56.64
1130,15/4/2018,NorthEastern,30.25,32.35,2.1
1131,16/4/2018,Northern,633.45,595.53,-37.92
1132,16/4/2018,Western,1219.34,1308.4,89.06
1133,16/4/2018,Southern,641.19,655.25,14.06
1134,16/4/2018,Eastern,466.34,558.77,92.43
1135,16/4/2018,NorthEastern,30.25,35.25,5
1136,17/4/2018,Northern,633.45,620.14,-13.31
1137,17/4/2018,Western,1219.34,1311.7,92.36
1138,17/4/2018,Southern,636.56,669.71,33.15
1139,17/4/2018,Eastern,466.34,552.32,85.98
1140,17/4/2018,NorthEastern,30.25,32.16,1.91
1141,18/4/2018,Northern,631.21,618.93,-12.28
1142,18/4/2018,Western,1219.34,1293.82,74.48
1143,18/4/2018,Southern,636.56,673.97,37.41
1144,18/4/2018,Eastern,466.34,534.17,67.83
1145,18/4/2018,NorthEastern,30.25,29.13,-1.12
1146,19/4/2018,Northern,631.21,633.05,1.84
1147,19/4/2018,Western,1219.34,1303.81,84.47
1148,19/4/2018,Southern,636.56,683.15,46.59
1149,19/4/2018,Eastern,466.34,543.68,77.34
1150,19/4/2018,NorthEastern,30.25,27.83,-2.42
1151,20/4/2018,Northern,633.71,598.29,-35.42
1152,20/4/2018,Western,1222.12,1259.79,37.67
1153,20/4/2018,Southern,636.56,678.58,42.02
1154,20/4/2018,Eastern,466.34,534.11,67.77
1155,20/4/2018,NorthEastern,30.25,28.2,-2.05
1156,21/4/2018,Northern,633.23,639.05,5.82
1157,21/4/2018,Western,1227.92,1305.23,77.31
1158,21/4/2018,Southern,636.56,670.58,34.02
1159,21/4/2018,Eastern,466.34,525.29,58.95
1160,21/4/2018,NorthEastern,30.25,30.65,0.4
1161,22/4/2018,Northern,633.23,599.51,-33.72
1162,22/4/2018,Western,1227.92,1279.26,51.34
1163,22/4/2018,Southern,636.56,629.1,-7.46
1164,22/4/2018,Eastern,466.34,517.23,50.89
1165,22/4/2018,NorthEastern,30.25,32.61,2.36
1166,23/4/2018,Northern,633.23,648.95,15.72
1167,23/4/2018,Western,1227.92,1284.93,57.01
1168,23/4/2018,Southern,636.56,664.01,27.45
1169,23/4/2018,Eastern,466.34,546.55,80.21
1170,23/4/2018,NorthEastern,30.25,35.06,4.81
1171,24/4/2018,Northern,633.23,665.59,32.36
1172,24/4/2018,Western,1227.92,1282.71,54.79
1173,24/4/2018,Southern,636.56,675.25,38.69
1174,24/4/2018,Eastern,465.25,524.5,59.25
1175,24/4/2018,NorthEastern,30.25,34.75,4.5
1176,25/4/2018,Northern,633.23,680.01,46.78
1177,25/4/2018,Western,1227.92,1270.5,42.58
1178,25/4/2018,Southern,636.56,680.34,43.78
1179,25/4/2018,Eastern,465.25,522.58,57.33
1180,25/4/2018,NorthEastern,30.25,32.37,2.12
1181,26/4/2018,Northern,633.23,680.66,47.43
1182,26/4/2018,Western,1233.32,1263.88,30.56
1183,26/4/2018,Southern,636.56,691.85,55.29
1184,26/4/2018,Eastern,465.25,516.98,51.73
1185,26/4/2018,NorthEastern,30.25,31.55,1.3
1186,27/4/2018,Northern,633.23,697.1,63.87
1187,27/4/2018,Western,1233.32,1262.12,28.8
1188,27/4/2018,Southern,636.56,706.84,70.28
1189,27/4/2018,Eastern,465.25,515.18,49.93
1190,27/4/2018,NorthEastern,30.25,33.26,3.01
1191,28/4/2018,Northern,630.56,714.5,83.94
1192,28/4/2018,Western,1235.32,1227.49,-7.83
1193,28/4/2018,Southern,636.56,706.35,69.79
1194,28/4/2018,Eastern,465.25,519.88,54.63
1195,28/4/2018,NorthEastern,30.25,35.59,5.34
1196,29/4/2018,Northern,633.06,671.69,38.63
1197,29/4/2018,Western,1235.32,1160.84,-74.48
1198,29/4/2018,Southern,636.56,670.12,33.56
1199,29/4/2018,Eastern,465.25,505.86,40.61
1200,29/4/2018,NorthEastern,30.25,32.49,2.24
1201,30/4/2018,Northern,636.39,624.62,-11.77
1202,30/4/2018,Western,1235.32,1183.77,-51.55
1203,30/4/2018,Southern,636.56,672.75,36.19
1204,30/4/2018,Eastern,469.05,466.64,-2.41
1205,30/4/2018,NorthEastern,30.25,31.99,1.74
1206,1/5/2018,Northern,628.57,593.17,-35.4
1207,1/5/2018,Western,1217.35,1176.83,-40.52
1208,1/5/2018,Southern,631.61,619.23,-12.38
1209,1/5/2018,Eastern,469.21,460.44,-8.77
1210,1/5/2018,NorthEastern,30.13,29.9,-0.23
1211,2/5/2018,Northern,628.57,567.45,-61.12
1212,2/5/2018,Western,1216.67,1190.12,-26.55
1213,2/5/2018,Southern,631.61,630.54,-1.07
1214,2/5/2018,Eastern,469.21,499.39,30.18
1215,2/5/2018,NorthEastern,30.13,30.23,0.1
1216,3/5/2018,Northern,628.57,492.84,-135.73
1217,3/5/2018,Western,1217.84,1167.9,-49.94
1218,3/5/2018,Southern,631.61,617.08,-14.53
1219,3/5/2018,Eastern,469.21,488.75,19.54
1220,3/5/2018,NorthEastern,30.13,31.77,1.64
1221,4/5/2018,Northern,628.57,587.09,-41.48
1222,4/5/2018,Western,1217.84,1236.92,19.08
1223,4/5/2018,Southern,631.61,600.92,-30.69
1224,4/5/2018,Eastern,469.21,529.05,59.84
1225,4/5/2018,NorthEastern,30.13,33.57,3.44
1226,5/5/2018,Northern,628.94,628.96,0.02
1227,5/5/2018,Western,1217.52,1241.82,24.3
1228,5/5/2018,Southern,631.61,665.21,33.6
1229,5/5/2018,Eastern,469.21,542.87,73.66
1230,5/5/2018,NorthEastern,30.13,34.38,4.25
1231,6/5/2018,Northern,629.44,587.77,-41.67
1232,6/5/2018,Western,1221.1,1228.22,7.12
1233,6/5/2018,Southern,631.61,627.44,-4.17
1234,6/5/2018,Eastern,469.21,533.29,64.08
1235,6/5/2018,NorthEastern,30.13,33.58,3.45
1236,7/5/2018,Northern,629.44,647.1,17.66
1237,7/5/2018,Western,1221.1,1232.29,11.19
1238,7/5/2018,Southern,631.61,638.61,7
1239,7/5/2018,Eastern,469.21,528.5,59.29
1240,7/5/2018,NorthEastern,30.13,34.05,3.92
1241,8/5/2018,Northern,629.44,596.53,-32.91
1242,8/5/2018,Western,1221.1,1254.69,33.59
1243,8/5/2018,Southern,631.61,634.41,2.8
1244,8/5/2018,Eastern,469.21,514.01,44.8
1245,8/5/2018,NorthEastern,30.13,32.72,2.59
1246,9/5/2018,Northern,629.28,633.71,4.43
1247,9/5/2018,Western,1223.75,1275.69,51.94
1248,9/5/2018,Southern,631.61,622.62,-8.99
1249,9/5/2018,Eastern,470.3,518.65,48.35
1250,9/5/2018,NorthEastern,30.13,31.38,1.25
1251,10/5/2018,Northern,632.08,660.58,28.5
1252,10/5/2018,Western,1223.75,1283.29,59.54
1253,10/5/2018,Southern,631.61,644.19,12.58
1254,10/5/2018,Eastern,470.3,521.92,51.62
1255,10/5/2018,NorthEastern,30.13,33.69,3.56
1256,11/5/2018,Northern,632.92,682.4,49.48
1257,11/5/2018,Western,1217.95,1301.29,83.34
1258,11/5/2018,Southern,641.09,640.76,-0.33
1259,11/5/2018,Eastern,470.3,514.63,44.33
1260,11/5/2018,NorthEastern,30.13,35.33,5.2
1261,12/5/2018,Northern,632.92,674.11,41.19
1262,12/5/2018,Western,1217.95,1264.19,46.24
1263,12/5/2018,Southern,641.09,620.25,-20.84
1264,12/5/2018,Eastern,470.3,497.06,26.76
1265,12/5/2018,NorthEastern,30.13,35.4,5.27
1266,13/5/2018,Northern,632.92,622.57,-10.35
1267,13/5/2018,Western,1217.95,1219.35,1.4
1268,13/5/2018,Southern,641.09,601.86,-39.23
1269,13/5/2018,Eastern,470.3,476.61,6.31
1270,13/5/2018,NorthEastern,30.13,32.91,2.78
1271,14/5/2018,Northern,632.92,531.01,-101.91
1272,14/5/2018,Western,1217.95,1261.58,43.63
1273,14/5/2018,Southern,641.09,610.52,-30.57
1274,14/5/2018,Eastern,470.3,432.32,-37.98
1275,14/5/2018,NorthEastern,30.13,32.97,2.84
1276,15/5/2018,Northern,636.36,632.85,-3.51
1277,15/5/2018,Western,1211.95,1299.81,87.86
1278,15/5/2018,Southern,641.09,647.91,6.82
1279,15/5/2018,Eastern,466.59,489.72,23.13
1280,15/5/2018,NorthEastern,30.13,29.47,-0.66
1281,16/5/2018,Northern,645.24,666.69,21.45
1282,16/5/2018,Western,1223.2,1285.64,62.44
1283,16/5/2018,Southern,641.09,654.02,12.93
1284,16/5/2018,Eastern,466.59,488.95,22.36
1285,16/5/2018,NorthEastern,30.13,26.78,-3.35
1286,17/5/2018,Northern,645.24,688.03,42.79
1287,17/5/2018,Western,1223.2,1302.29,79.09
1288,17/5/2018,Southern,641.09,664.61,23.52
1289,17/5/2018,Eastern,466.59,483.58,16.99
1290,17/5/2018,NorthEastern,30.13,28.17,-1.96
1291,18/5/2018,Northern,647.45,704.28,56.83
1292,18/5/2018,Western,1223.2,1287.51,64.31
1293,18/5/2018,Southern,641.09,647.2,6.11
1294,18/5/2018,Eastern,466.59,492.28,25.69
1295,18/5/2018,NorthEastern,30.13,24.64,-5.49
1296,19/5/2018,Northern,649.43,714.48,65.05
1297,19/5/2018,Western,1223.2,1299.49,76.29
1298,19/5/2018,Southern,641.09,633.41,-7.68
1299,19/5/2018,Eastern,466.59,480.38,13.79
1300,19/5/2018,NorthEastern,30.13,29.24,-0.89
1301,20/5/2018,Northern,646.95,713.14,66.19
1302,20/5/2018,Western,1223.2,1270.62,47.42
1303,20/5/2018,Southern,641.09,557.74,-83.35
1304,20/5/2018,Eastern,476.59,484.7,8.11
1305,20/5/2018,NorthEastern,30.13,29.42,-0.71
1306,21/5/2018,Northern,646.95,728.05,81.1
1307,21/5/2018,Western,1220.65,1309.83,89.18
1308,21/5/2018,Southern,641.09,628.55,-12.54
1309,21/5/2018,Eastern,476.59,509.25,32.66
1310,21/5/2018,NorthEastern,30.13,29.94,-0.19
1311,22/5/2018,Northern,646.95,760.51,113.56
1312,22/5/2018,Western,1223.44,1361.97,138.53
1313,22/5/2018,Southern,637.09,660.77,23.68
1314,22/5/2018,Eastern,476.59,518.57,41.98
1315,22/5/2018,NorthEastern,30.13,30.24,0.11
1316,23/5/2018,Northern,647.32,782.5,135.18
1317,23/5/2018,Western,1223.44,1331.94,108.5
1318,23/5/2018,Southern,637.09,667.73,30.64
1319,23/5/2018,Eastern,476.59,513.14,36.55
1320,23/5/2018,NorthEastern,30.13,29.26,-0.87
1321,24/5/2018,Northern,647.32,763.24,115.92
1322,24/5/2018,Western,1223.44,1325.32,101.88
1323,24/5/2018,Southern,632.48,653.06,20.58
1324,24/5/2018,Eastern,476.59,514.61,38.02
1325,24/5/2018,NorthEastern,30.13,31.49,1.36
1326,25/5/2018,Northern,647.32,737.49,90.17
1327,25/5/2018,Western,1206.19,1317.08,110.89
1328,25/5/2018,Southern,632.48,631.44,-1.04
1329,25/5/2018,Eastern,476.59,520.6,44.01
1330,25/5/2018,NorthEastern,30.13,34.45,4.32
1331,26/5/2018,Northern,647.32,732.18,84.86
1332,26/5/2018,Western,1211.36,1319.06,107.7
1333,26/5/2018,Southern,632.48,640.71,8.23
1334,26/5/2018,Eastern,476.59,506.77,30.18
1335,26/5/2018,NorthEastern,30.13,33.91,3.78
1336,27/5/2018,Northern,647.32,740.48,93.16
1337,27/5/2018,Western,1211.36,1276.51,65.15
1338,27/5/2018,Southern,637.08,621.9,-15.18
1339,27/5/2018,Eastern,476.59,510.32,33.73
1340,27/5/2018,NorthEastern,30.13,32.44,2.31
1341,28/5/2018,Northern,648.94,769.71,120.77
1342,28/5/2018,Western,1211.36,1301.68,90.32
1343,28/5/2018,Southern,637.08,631.68,-5.4
1344,28/5/2018,Eastern,476.59,520.07,43.48
1345,28/5/2018,NorthEastern,30.13,35.85,5.72
1346,29/5/2018,Northern,648.94,770.38,121.44
1347,29/5/2018,Western,1211.36,1287.8,76.44
1348,29/5/2018,Southern,637.08,592.21,-44.87
1349,29/5/2018,Eastern,476.59,493.2,16.61
1350,29/5/2018,NorthEastern,30.13,33.52,3.39
1351,30/5/2018,Northern,649.8,744.44,94.64
1352,30/5/2018,Western,1211.36,1297.36,86
1353,30/5/2018,Southern,637.08,607.05,-30.03
1354,30/5/2018,Eastern,476.59,524.74,48.15
1355,30/5/2018,NorthEastern,30.13,34.44,4.31
1356,31/5/2018,Northern,649.8,774.24,124.44
1357,31/5/2018,Western,1211.36,1283.49,72.13
1358,31/5/2018,Southern,637.08,623.43,-13.65
1359,31/5/2018,Eastern,476.59,527.71,51.12
1360,31/5/2018,NorthEastern,30.13,30.54,0.41
1361,1/6/2018,Northern,649.77,706.63,56.86
1362,1/6/2018,Western,1156.93,1292.17,135.24
1363,1/6/2018,Southern,600.53,603.25,2.72
1364,1/6/2018,Eastern,469.15,483.39,14.24
1365,1/6/2018,NorthEastern,30.25,30.23,-0.02
1366,2/6/2018,Northern,647.41,605.58,-41.83
1367,2/6/2018,Western,1156.93,1272.91,115.98
1368,2/6/2018,Southern,600.53,599.01,-1.52
1369,2/6/2018,Eastern,469.15,507.59,38.44
1370,2/6/2018,NorthEastern,30.25,29.52,-0.73
1371,3/6/2018,Northern,647.41,602.32,-45.09
1372,3/6/2018,Western,1156.93,1209.11,52.18
1373,3/6/2018,Southern,600.53,550.42,-50.11
1374,3/6/2018,Eastern,469.15,487.41,18.26
1375,3/6/2018,NorthEastern,30.25,29.99,-0.26
1376,4/6/2018,Northern,651.38,678.1,26.72
1377,4/6/2018,Western,1156.67,1244.3,87.63
1378,4/6/2018,Southern,600.53,556.96,-43.57
1379,4/6/2018,Eastern,469.15,525.96,56.81
1380,4/6/2018,NorthEastern,30.25,32.5,2.25
1381,5/6/2018,Northern,651.38,689.01,37.63
1382,5/6/2018,Western,1156.67,1270.9,114.23
1383,5/6/2018,Southern,600.53,552.27,-48.26
1384,5/6/2018,Eastern,469.15,524.25,55.1
1385,5/6/2018,NorthEastern,30.25,32.7,2.45
1386,6/6/2018,Northern,651.38,630.3,-21.08
1387,6/6/2018,Western,1166.67,1258.31,91.64
1388,6/6/2018,Southern,604.53,527.48,-77.05
1389,6/6/2018,Eastern,469.15,511.67,42.52
1390,6/6/2018,NorthEastern,30.25,32.19,1.94
1391,7/6/2018,Northern,663.59,662.52,-1.07
1392,7/6/2018,Western,1162.17,1248.36,86.19
1393,7/6/2018,Southern,604.53,501.49,-103.04
1394,7/6/2018,Eastern,469.15,501.19,32.04
1395,7/6/2018,NorthEastern,30.25,31.07,0.82
1396,8/6/2018,Northern,663.59,661.81,-1.78
1397,8/6/2018,Western,1162.17,1124.73,-37.44
1398,8/6/2018,Southern,604.53,484.09,-120.44
1399,8/6/2018,Eastern,469.15,477.02,7.87
1400,8/6/2018,NorthEastern,30.25,31.94,1.69
1401,9/6/2018,Northern,663.59,573.06,-90.53
1402,9/6/2018,Western,1165.4,967,-198.4
1403,9/6/2018,Southern,604.53,448.11,-156.42
1404,9/6/2018,Eastern,472.92,446.31,-26.61
1405,9/6/2018,NorthEastern,30.25,31.01,0.76
1406,10/6/2018,Northern,671.9,530.41,-141.49
1407,10/6/2018,Western,1165.4,1031.1,-134.3
1408,10/6/2018,Southern,604.53,403.7,-200.83
1409,10/6/2018,Eastern,472.92,420.78,-52.14
1410,10/6/2018,NorthEastern,30.25,31.6,1.35
1411,11/6/2018,Northern,667.8,607.2,-60.6
1412,11/6/2018,Western,1165.4,1154.16,-11.24
1413,11/6/2018,Southern,604.53,417.34,-187.19
1414,11/6/2018,Eastern,472.92,451.72,-21.2
1415,11/6/2018,NorthEastern,30.25,30.15,-0.1
1416,12/6/2018,Northern,667.8,651.67,-16.13
1417,12/6/2018,Western,1159.95,1137.67,-22.28
1418,12/6/2018,Southern,604.53,431.26,-173.27
1419,12/6/2018,Eastern,469.74,461.16,-8.58
1420,12/6/2018,NorthEastern,30.25,30.03,-0.22
1421,13/6/2018,Northern,667.8,648.18,-19.62
1422,13/6/2018,Western,1150.87,1079.67,-71.2
1423,13/6/2018,Southern,604.53,431.12,-173.41
1424,13/6/2018,Eastern,469.74,467.83,-1.91
1425,13/6/2018,NorthEastern,30.25,27.6,-2.65
1426,14/6/2018,Northern,667.8,658.22,-9.58
1427,14/6/2018,Western,1150.87,1066.93,-83.94
1428,14/6/2018,Southern,604.53,468.01,-136.52
1429,14/6/2018,Eastern,469.74,467.11,-2.63
1430,14/6/2018,NorthEastern,30.25,28.28,-1.97
1431,15/6/2018,Northern,667.8,672.15,4.35
1432,15/6/2018,Western,1153.43,1163.52,10.09
1433,15/6/2018,Southern,581.6,501.66,-79.94
1434,15/6/2018,Eastern,469.74,480.35,10.61
1435,15/6/2018,NorthEastern,30.25,28.58,-1.67
1436,16/6/2018,Northern,667.8,643.51,-24.29
1437,16/6/2018,Western,1138.23,1163.32,25.09
1438,16/6/2018,Southern,585.2,492.54,-92.66
1439,16/6/2018,Eastern,469.74,479.14,9.4
1440,16/6/2018,NorthEastern,30.25,27.92,-2.33
1441,17/6/2018,Northern,667.8,534.96,-132.84
1442,17/6/2018,Western,1138.23,1139.35,1.12
1443,17/6/2018,Southern,585.2,454.53,-130.67
1444,17/6/2018,Eastern,469.74,445.32,-24.42
1445,17/6/2018,NorthEastern,30.25,29.21,-1.04
1446,18/6/2018,Northern,667.8,602.2,-65.6
1447,18/6/2018,Western,1140.92,1215.85,74.93
1448,18/6/2018,Southern,585.2,508.88,-76.32
1449,18/6/2018,Eastern,469.74,469.73,-0.01
1450,18/6/2018,NorthEastern,30.25,27.01,-3.24
1451,19/6/2018,Northern,667.94,681.48,13.54
1452,19/6/2018,Western,1140.92,1216.16,75.24
1453,19/6/2018,Southern,585.2,560.83,-24.37
1454,19/6/2018,Eastern,469.74,483.1,13.36
1455,19/6/2018,NorthEastern,30.25,30.94,0.69
1456,20/6/2018,Northern,664.82,773.39,108.57
1457,20/6/2018,Western,1140.92,1233.13,92.21
1458,20/6/2018,Southern,585.2,569.83,-15.37
1459,20/6/2018,Eastern,469.74,490.76,21.02
1460,20/6/2018,NorthEastern,30.25,30.74,0.49
1461,21/6/2018,Northern,664.82,797.59,132.77
1462,21/6/2018,Western,1125.32,1259.65,134.33
1463,21/6/2018,Southern,585.6,562.34,-23.26
1464,21/6/2018,Eastern,476.94,498.97,22.03
1465,21/6/2018,NorthEastern,30.25,32.1,1.85
1466,22/6/2018,Northern,665.68,805.07,139.39
1467,22/6/2018,Western,1125.32,1254.07,128.75
1468,22/6/2018,Southern,584.98,580.26,-4.72
1469,22/6/2018,Eastern,476.94,510.59,33.65
1470,22/6/2018,NorthEastern,30.25,32.01,1.76
1471,23/6/2018,Northern,665.68,812.84,147.16
1472,23/6/2018,Western,1125.32,1241.67,116.35
1473,23/6/2018,Southern,571.34,540.37,-30.97
1474,23/6/2018,Eastern,476.94,512.14,35.2
1475,23/6/2018,NorthEastern,30.25,32.74,2.49
1476,24/6/2018,Northern,665.68,787.34,121.66
1477,24/6/2018,Western,1136.32,1166.62,30.3
1478,24/6/2018,Southern,567.99,481.63,-86.36
1479,24/6/2018,Eastern,473.11,480.27,7.16
1480,24/6/2018,NorthEastern,30.25,31.15,0.9
1481,25/6/2018,Northern,658.72,802.55,143.83
1482,25/6/2018,Western,1140.27,1193.55,53.28
1483,25/6/2018,Southern,567.99,505.96,-62.03
1484,25/6/2018,Eastern,464.19,486.52,22.33
1485,25/6/2018,NorthEastern,30.25,30.6,0.35
1486,26/6/2018,Northern,658.72,746.82,88.1
1487,26/6/2018,Western,1146.67,1148.05,1.38
1488,26/6/2018,Southern,576.99,492.81,-84.18
1489,26/6/2018,Eastern,463.11,474.31,11.2
1490,26/6/2018,NorthEastern,30.25,30.55,0.3
1491,27/6/2018,Northern,658.72,672.74,14.02
1492,27/6/2018,Western,1162.72,1161.58,-1.14
1493,27/6/2018,Southern,576.99,478.64,-98.35
1494,27/6/2018,Eastern,463.11,470.65,7.54
1495,27/6/2018,NorthEastern,30.25,31.39,1.14
1496,28/6/2018,Northern,658.72,529.28,-129.44
1497,28/6/2018,Western,1162.72,1156.58,-6.14
1498,28/6/2018,Southern,576.99,488.32,-88.67
1499,28/6/2018,Eastern,463.11,453.89,-9.22
1500,28/6/2018,NorthEastern,30.25,30.99,0.74
1501,29/6/2018,Northern,658.72,555.63,-103.09
1502,29/6/2018,Western,1162.72,1159.51,-3.21
1503,29/6/2018,Southern,572.88,522.63,-50.25
1504,29/6/2018,Eastern,463.11,477.29,14.18
1505,29/6/2018,NorthEastern,30.25,31.26,1.01
1506,30/6/2018,Northern,658.72,593.23,-65.49
1507,30/6/2018,Western,1162.72,1214,51.28
1508,30/6/2018,Southern,572.88,521.42,-51.46
1509,30/6/2018,Eastern,463.11,499.53,36.42
1510,30/6/2018,NorthEastern,30.25,31,0.75
1511,1/7/2018,Northern,645.49,572.79,-72.7
1512,1/7/2018,Western,1094.62,1188.11,93.49
1513,1/7/2018,Southern,544.82,507.82,-37
1514,1/7/2018,Eastern,454.23,477.82,23.59
1515,1/7/2018,NorthEastern,30.1,30.84,0.74
1516,2/7/2018,Northern,645.3,575.61,-69.69
1517,2/7/2018,Western,1094.62,1173.11,78.49
1518,2/7/2018,Southern,544.82,491.86,-52.96
1519,2/7/2018,Eastern,454.23,471.39,17.16
1520,2/7/2018,NorthEastern,30.1,30.34,0.24
1521,3/7/2018,Northern,644.14,560.86,-83.28
1522,3/7/2018,Western,1094.62,1097.23,2.61
1523,3/7/2018,Southern,544.82,497.77,-47.05
1524,3/7/2018,Eastern,449.73,449.38,-0.35
1525,3/7/2018,NorthEastern,30.1,29.88,-0.22
1526,4/7/2018,Northern,644.14,524.93,-119.21
1527,4/7/2018,Western,1094.62,1066.29,-28.33
1528,4/7/2018,Southern,541.49,525.05,-16.44
1529,4/7/2018,Eastern,449.73,447.65,-2.08
1530,4/7/2018,NorthEastern,30.1,30.4,0.3
1531,5/7/2018,Northern,644.14,604.03,-40.11
1532,5/7/2018,Western,1084.37,1127.95,43.58
1533,5/7/2018,Southern,541.49,539.76,-1.73
1534,5/7/2018,Eastern,446.73,471.36,24.63
1535,5/7/2018,NorthEastern,30.1,31.65,1.55
1536,6/7/2018,Northern,645.02,682.4,37.38
1537,6/7/2018,Western,1099.95,1144.69,44.74
1538,6/7/2018,Southern,541.49,538.13,-3.36
1539,6/7/2018,Eastern,446.73,473.75,27.02
1540,6/7/2018,NorthEastern,30.1,33.69,3.59
1541,7/7/2018,Northern,645.02,723.03,78.01
1542,7/7/2018,Western,1086.95,1163.86,76.91
1543,7/7/2018,Southern,541.49,508.18,-33.31
1544,7/7/2018,Eastern,446.73,490.98,44.25
1545,7/7/2018,NorthEastern,30.1,34.65,4.55
1546,8/7/2018,Northern,641.42,682.1,40.68
1547,8/7/2018,Western,1112.08,1128.11,16.03
1548,8/7/2018,Southern,541.49,461.24,-80.25
1549,8/7/2018,Eastern,446.73,610.79,164.06
1550,8/7/2018,NorthEastern,30.1,32.62,2.52
1551,9/7/2018,Northern,647.51,737.91,90.4
1552,9/7/2018,Western,1112.08,1165.29,53.21
1553,9/7/2018,Southern,541.59,482.73,-58.86
1554,9/7/2018,Eastern,446.73,466.35,19.62
1555,9/7/2018,NorthEastern,30.1,34.01,3.91
1556,10/7/2018,Northern,633.21,736.07,102.86
1557,10/7/2018,Western,1107.14,1175.03,67.89
1558,10/7/2018,Southern,537.37,480.78,-56.59
1559,10/7/2018,Eastern,443.4,468.27,24.87
1560,10/7/2018,NorthEastern,30.1,34.96,4.86
1561,11/7/2018,Northern,633.4,703.39,69.99
1562,11/7/2018,Western,1107.14,1120.81,13.67
1563,11/7/2018,Southern,546.61,459.91,-86.7
1564,11/7/2018,Eastern,443.4,467.14,23.74
1565,11/7/2018,NorthEastern,30.1,33.72,3.62
1566,12/7/2018,Northern,633.4,685.41,52.01
1567,12/7/2018,Western,1107.14,1124.81,17.67
1568,12/7/2018,Southern,547.26,444.49,-102.77
1569,12/7/2018,Eastern,443.4,472.7,29.3
1570,12/7/2018,NorthEastern,30.1,33.44,3.34
1571,13/7/2018,Northern,633.4,636.05,2.65
1572,13/7/2018,Western,1107.14,1094.04,-13.1
1573,13/7/2018,Southern,547.26,444.72,-102.54
1574,13/7/2018,Eastern,446.35,459.06,12.71
1575,13/7/2018,NorthEastern,30.1,32.87,2.77
1576,14/7/2018,Northern,633.4,599.04,-34.36
1577,14/7/2018,Western,1107.14,1091.29,-15.85
1578,14/7/2018,Southern,547.26,441.31,-105.95
1579,14/7/2018,Eastern,446.35,462.54,16.19
1580,14/7/2018,NorthEastern,30.1,33.41,3.31
1581,15/7/2018,Northern,637.99,604.12,-33.87
1582,15/7/2018,Western,1103.64,1050.78,-52.86
1583,15/7/2018,Southern,536.69,422.42,-114.27
1584,15/7/2018,Eastern,445.06,453.67,8.61
1585,15/7/2018,NorthEastern,30.1,33.33,3.23
1586,16/7/2018,Northern,634.79,653.35,18.56
1587,16/7/2018,Western,1118.83,1083.37,-35.46
1588,16/7/2018,Southern,546.4,415.13,-131.27
1589,16/7/2018,Eastern,445.06,443.14,-1.92
1590,16/7/2018,NorthEastern,30.1,33.34,3.24
1591,17/7/2018,Northern,634.98,637.03,2.05
1592,17/7/2018,Western,1117.9,1104.81,-13.09
1593,17/7/2018,Southern,549.87,419.15,-130.72
1594,17/7/2018,Eastern,445.06,437.41,-7.65
1595,17/7/2018,NorthEastern,30.1,34.11,4.01
1596,18/7/2018,Northern,634.98,662.89,27.91
1597,18/7/2018,Western,1128.11,1126.23,-1.88
1598,18/7/2018,Southern,549.87,446.88,-102.99
1599,18/7/2018,Eastern,445.06,443.31,-1.75
1600,18/7/2018,NorthEastern,30.1,34.82,4.72
1601,19/7/2018,Northern,634.98,651.67,16.69
1602,19/7/2018,Western,1128.11,1140.64,12.53
1603,19/7/2018,Southern,549.87,462.68,-87.19
1604,19/7/2018,Eastern,445.06,450.44,5.38
1605,19/7/2018,NorthEastern,30.1,33.81,3.71
1606,20/7/2018,Northern,637.23,634.42,-2.81
1607,20/7/2018,Western,1129.73,1117.72,-12.01
1608,20/7/2018,Southern,559.87,472.76,-87.11
1609,20/7/2018,Eastern,445.06,457.58,12.52
1610,20/7/2018,NorthEastern,30.1,34.92,4.82
1611,21/7/2018,Northern,637.23,554.25,-82.98
1612,21/7/2018,Western,1120.84,1079.2,-41.64
1613,21/7/2018,Southern,564.78,450.87,-113.91
1614,21/7/2018,Eastern,445.06,428,-17.06
1615,21/7/2018,NorthEastern,30.1,31.64,1.54
1616,22/7/2018,Northern,650.83,505.3,-145.53
1617,22/7/2018,Western,1117.89,974.06,-143.83
1618,22/7/2018,Southern,573.78,426.55,-147.23
1619,22/7/2018,Eastern,445.06,401.62,-43.44
1620,22/7/2018,NorthEastern,30.1,30.67,0.57
1621,23/7/2018,Northern,650.83,540.27,-110.56
1622,23/7/2018,Western,1116.71,1050.15,-66.56
1623,23/7/2018,Southern,582.56,450.42,-132.14
1624,23/7/2018,Eastern,445.06,435.66,-9.4
1625,23/7/2018,NorthEastern,30.1,30.4,0.3
1626,24/7/2018,Northern,650.83,571.32,-79.51
1627,24/7/2018,Western,1088.1,1080.71,-7.39
1628,24/7/2018,Southern,572.08,468.73,-103.35
1629,24/7/2018,Eastern,445.06,450.98,5.92
1630,24/7/2018,NorthEastern,30.1,33.6,3.5
1631,25/7/2018,Northern,650.83,549.15,-101.68
1632,25/7/2018,Western,1090.53,1036.5,-54.03
1633,25/7/2018,Southern,568.08,482.9,-85.18
1634,25/7/2018,Eastern,450.92,431.95,-18.97
1635,25/7/2018,NorthEastern,30.1,33.7,3.6
1636,26/7/2018,Northern,658.16,463.16,-195
1637,26/7/2018,Western,1108.21,976.12,-132.09
