index,Date,Region,Thermal Generation Actual (in MW),Thermal Generation Estimated (in MW),Thermal Generation Estimation Error,Nuclear Generation Actual (in MW),Nuclear Generation Estimated (in MW),Nuclear Generation Estimation Error,Hydro Generation Actual (in MW),Hydro Generation Estimated (in MW),Hydro Generation Estimation Error
1463,21/6/2018,Southern,585.6,562.34,-23.26,63.17,47.7,-15.47,38.45,67.64,29.19
1464,21/6/2018,Eastern,476.94,498.97,22.03,,,0,53.41,71.52,18.11
1465,21/6/2018,NorthEastern,30.25,32.1,1.85,,,0,21.71,21.98,0.27
1466,22/6/2018,Northern,665.68,805.07,139.39,30.83,30.78,-0.05,303.99,263.56,-40.43
1467,22/6/2018,Western,1125.32,1254.07,128.75,25.07,32.84,7.77,16.99,9.88,-7.11
1468,22/6/2018,Southern,584.98,580.26,-4.72,63.17,48.37,-14.8,38.45,60.64,22.19
1469,22/6/2018,Eastern,476.94,510.59,33.65,,,0,53.41,68.62,15.21
1470,22/6/2018,NorthEastern,30.25,32.01,1.76,,,0,21.71,23.04,1.33
1471,23/6/2018,Northern,665.68,812.84,147.16,30.83,29.1,-1.73,303.99,274.78,-29.21
1472,23/6/2018,Western,1125.32,1241.67,116.35,25.07,32.2,7.13,16.99,11.27,-5.72
1473,23/6/2018,Southern,571.34,540.37,-30.97,63.17,47.68,-15.49,38.45,49.1,10.65
1474,23/6/2018,Eastern,476.94,512.14,35.2,,,0,53.41,70.7,17.29
1475,23/6/2018,NorthEastern,30.25,32.74,2.49,,,0,21.71,25.32,3.61
1476,24/6/2018,Northern,665.68,787.34,121.66,30.83,29.6,-1.23,303.99,267.82,-36.17
1477,24/6/2018,Western,1136.32,1166.62,30.3,25.07,32.26,7.19,16.99,8.6,-8.39
1478,24/6/2018,Southern,567.99,481.63,-86.36,63.17,47.56,-15.61,38.45,46.67,8.22
1479,24/6/2018,Eastern,473.11,480.27,7.16,,,0,53.41,68.84,15.43
1480,24/6/2018,NorthEastern,30.25,31.15,0.9,,,0,21.71,23.25,1.54
1481,25/6/2018,Northern,658.72,802.55,143.83,30.83,29.56,-1.27,303.99,277.74,-26.25
1482,25/6/2018,Western,1140.27,1193.55,53.28,25.07,32.45,7.38,16.99,8.95,-8.04
1483,25/6/2018,Southern,567.99,505.96,-62.03,63.17,47.18,-15.99,38.45,45.81,7.36
1484,25/6/2018,Eastern,464.19,486.52,22.33,,,0,53.41,66.77,13.36
1485,25/6/2018,NorthEastern,30.25,30.6,0.35,,,0,21.71,24.11,2.4
1486,26/6/2018,Northern,658.72,746.82,88.1,30.83,29.67,-1.16,303.99,288.2,-15.79
1487,26/6/2018,Western,1146.67,1148.05,1.38,25.07,32.45,7.38,16.99,13.61,-3.38
1488,26/6/2018,Southern,576.99,492.81,-84.18,63.17,45.76,-17.41,38.45,42.75,4.3
1489,26/6/2018,Eastern,463.11,474.31,11.2,,,0,53.41,65.96,12.55
1490,26/6/2018,NorthEastern,30.25,30.55,0.3,,,0,21.71,23.56,1.85
1491,27/6/2018,Northern,658.72,672.74,14.02,30.83,32.51,1.68,303.99,278.12,-25.87
1492,27/6/2018,Western,1162.72,1161.58,-1.14,25.07,32.45,7.38,16.99,10.81,-6.18
1493,27/6/2018,Southern,576.99,478.64,-98.35,63.17,46.51,-16.66,38.45,50.15,11.7
1494,27/6/2018,Eastern,463.11,470.65,7.54,,,0,53.41,63.13,9.72
1495,27/6/2018,NorthEastern,30.25,31.39,1.14,,,0,21.71,22.11,0.4
1496,28/6/2018,Northern,658.72,529.28,-129.44,30.83,34.33,3.5,303.99,286.18,-17.81
1497,28/6/2018,Western,1162.72,1156.58,-6.14,25.07,32.87,7.8,16.99,16.04,-0.95
1498,28/6/2018,Southern,576.99,488.32,-88.67,63.17,46.76,-16.41,38.45,61.18,22.73
1499,28/6/2018,Eastern,463.11,453.89,-9.22,,,0,53.41,61.54,8.13
1500,28/6/2018,NorthEastern,30.25,30.99,0.74,,,0,21.71,24.14,2.43
1501,29/6/2018,Northern,658.72,555.63,-103.09,30.83,34.64,3.81,303.99,285.19,-18.8
1502,29/6/2018,Western,1162.72,1159.51,-3.21,25.07,32.85,7.78,16.99,18.69,1.7
1503,29/6/2018,Southern,572.88,522.63,-50.25,63.17,46.15,-17.02,38.45,68.87,30.42
1504,29/6/2018,Eastern,463.11,477.29,14.18,,,0,53.41,63.37,9.96
1505,29/6/2018,NorthEastern,30.25,31.26,1.01,,,0,21.71,23.18,1.47
1506,30/6/2018,Northern,658.72,593.23,-65.49,30.83,33.85,3.02,303.99,312.89,8.9
1507,30/6/2018,Western,1162.72,1214,51.28,25.07,31.8,6.73,16.99,20.44,3.45
1508,30/6/2018,Southern,572.88,521.42,-51.46,63.17,46.19,-16.98,38.45,72.63,34.18
1509,30/6/2018,Eastern,463.11,499.53,36.42,,,0,53.41,58.76,5.35
1510,30/6/2018,NorthEastern,30.25,31,0.75,,,0,21.71,23.25,1.54
1511,1/7/2018,Northern,645.49,572.79,-72.7,30.72,30.37,-0.35,314.44,325.24,10.8
1512,1/7/2018,Western,1094.62,1188.11,93.49,14.06,30.07,16.01,21.91,11.66,-10.25
1513,1/7/2018,Southern,544.82,507.82,-37,40.09,47.04,6.95,62.52,57.36,-5.16
1514,1/7/2018,Eastern,454.23,477.82,23.59,,,0,69.16,57.44,-11.72
1515,1/7/2018,NorthEastern,30.1,30.84,0.74,,,0,30.46,23.88,-6.58
1516,2/7/2018,Northern,645.3,575.61,-69.69,30.72,29.97,-0.75,314.44,328.83,14.39
1517,2/7/2018,Western,1094.62,1173.11,78.49,14.06,28.26,14.2,21.91,16.26,-5.65
1518,2/7/2018,Southern,544.82,491.86,-52.96,40.09,45.96,5.87,62.52,50.9,-11.62
1519,2/7/2018,Eastern,454.23,471.39,17.16,,,0,69.16,64.17,-4.99
1520,2/7/2018,NorthEastern,30.1,30.34,0.24,,,0,30.46,25.77,-4.69
1521,3/7/2018,Northern,644.14,560.86,-83.28,30.72,30.29,-0.43,314.44,332.48,18.04
1522,3/7/2018,Western,1094.62,1097.23,2.61,14.06,28.82,14.76,21.91,12.12,-9.79
1523,3/7/2018,Southern,544.82,497.77,-47.05,40.09,46.38,6.29,62.52,45.72,-16.8
1524,3/7/2018,Eastern,449.73,449.38,-0.35,,,0,69.16,64.57,-4.59
1525,3/7/2018,NorthEastern,30.1,29.88,-0.22,,,0,30.46,29.01,-1.45
1526,4/7/2018,Northern,644.14,524.93,-119.21,30.72,30.51,-0.21,314.44,325.38,10.94
1527,4/7/2018,Western,1094.62,1066.29,-28.33,14.06,29.6,15.54,21.91,14.02,-7.89
1528,4/7/2018,Southern,541.49,525.05,-16.44,40.09,46.37,6.28,62.52,46.01,-16.51
1529,4/7/2018,Eastern,449.73,447.65,-2.08,,,0,69.16,65.65,-3.51
1530,4/7/2018,NorthEastern,30.1,30.4,0.3,,,0,30.46,28.32,-2.14
1531,5/7/2018,Northern,644.14,604.03,-40.11,30.72,30.23,-0.49,314.44,300.98,-13.46
1532,5/7/2018,Western,1084.37,1127.95,43.58,14.06,29.95,15.89,21.91,15.83,-6.08
1533,5/7/2018,Southern,541.49,539.76,-1.73,40.09,46.43,6.34,62.52,45.54,-16.98
1534,5/7/2018,Eastern,446.73,471.36,24.63,,,0,69.16,67.16,-2
1535,5/7/2018,NorthEastern,30.1,31.65,1.55,,,0,30.46,29.15,-1.31
1536,6/7/2018,Northern,645.02,682.4,37.38,30.72,30.32,-0.4,314.44,287.11,-27.33
1537,6/7/2018,Western,1099.95,1144.69,44.74,14.06,30.78,16.72,21.91,16.94,-4.97
1538,6/7/2018,Southern,541.49,538.13,-3.36,40.09,46.23,6.14,62.52,53.32,-9.2
1539,6/7/2018,Eastern,446.73,473.75,27.02,,,0,69.16,68.98,-0.18
1540,6/7/2018,NorthEastern,30.1,33.69,3.59,,,0,30.46,26.54,-3.92
1541,7/7/2018,Northern,645.02,723.03,78.01,30.72,30.28,-0.44,314.44,304.22,-10.22
1542,7/7/2018,Western,1086.95,1163.86,76.91,14.06,32.13,18.07,21.91,17.93,-3.98
1543,7/7/2018,Southern,541.49,508.18,-33.31,40.09,46.57,6.48,62.52,43.66,-18.86
1544,7/7/2018,Eastern,446.73,490.98,44.25,,,0,69.16,67.53,-1.63
1545,7/7/2018,NorthEastern,30.1,34.65,4.55,,,0,30.46,26.25,-4.21
1546,8/7/2018,Northern,641.42,682.1,40.68,30.72,30.22,-0.5,314.44,319.99,5.55
1547,8/7/2018,Western,1112.08,1128.11,16.03,14.06,32.3,18.24,21.91,10.71,-11.2
1548,8/7/2018,Southern,541.49,461.24,-80.25,40.09,46.75,6.66,62.52,41.91,-20.61
1549,8/7/2018,Eastern,446.73,610.79,164.06,,,0,69.16,65.88,-3.28
1550,8/7/2018,NorthEastern,30.1,32.62,2.52,,,0,30.46,25.21,-5.25
1551,9/7/2018,Northern,647.51,737.91,90.4,30.72,30.6,-0.12,314.44,329.56,15.12
1552,9/7/2018,Western,1112.08,1165.29,53.21,14.06,32.48,18.42,21.91,13.62,-8.29
1553,9/7/2018,Southern,541.59,482.73,-58.86,40.09,46.6,6.51,62.52,49.08,-13.44
1554,9/7/2018,Eastern,446.73,466.35,19.62,,,0,69.16,68.07,-1.09
1555,9/7/2018,NorthEastern,30.1,34.01,3.91,,,0,30.46,24.8,-5.66
1556,10/7/2018,Northern,633.21,736.07,102.86,30.72,30.13,-0.59,314.44,334.11,19.67
1557,10/7/2018,Western,1107.14,1175.03,67.89,14.06,32.69,18.63,21.91,13.87,-8.04
1558,10/7/2018,Southern,537.37,480.78,-56.59,40.09,46.53,6.44,62.52,62.2,-0.32
1559,10/7/2018,Eastern,443.4,468.27,24.87,,,0,69.16,58.29,-10.87
1560,10/7/2018,NorthEastern,30.1,34.96,4.86,,,0,30.46,23.58,-6.88
1561,11/7/2018,Northern,633.4,703.39,69.99,30.72,30.2,-0.52,314.44,327.4,12.96
1562,11/7/2018,Western,1107.14,1120.81,13.67,14.06,32.73,18.67,21.91,13.73,-8.18
1563,11/7/2018,Southern,546.61,459.91,-86.7,40.09,46.56,6.47,62.52,55.9,-6.62
1564,11/7/2018,Eastern,443.4,467.14,23.74,,,0,69.16,67.67,-1.49
1565,11/7/2018,NorthEastern,30.1,33.72,3.62,,,0,30.46,25.71,-4.75
1566,12/7/2018,Northern,633.4,685.41,52.01,30.72,30.17,-0.55,314.44,318.31,3.87
1567,12/7/2018,Western,1107.14,1124.81,17.67,14.06,32.76,18.7,21.91,19.67,-2.24
1568,12/7/2018,Southern,547.26,444.49,-102.77,40.09,46.66,6.57,62.52,63.49,0.97
1569,12/7/2018,Eastern,443.4,472.7,29.3,,,0,69.16,68.18,-0.98
1570,12/7/2018,NorthEastern,30.1,33.44,3.34,,,0,30.46,25.34,-5.12
1571,13/7/2018,Northern,633.4,636.05,2.65,30.72,30.46,-0.26,314.44,312.03,-2.41
1572,13/7/2018,Western,1107.14,1094.04,-13.1,14.06,32.9,18.84,21.91,20.04,-1.87
1573,13/7/2018,Southern,547.26,444.72,-102.54,40.09,46.78,6.69,62.52,63.62,1.1
1574,13/7/2018,Eastern,446.35,459.06,12.71,,,0,69.16,65.23,-3.93
1575,13/7/2018,NorthEastern,30.1,32.87,2.77,,,0,30.46,27.46,-3
1576,14/7/2018,Northern,633.4,599.04,-34.36,30.72,30.67,-0.05,314.44,318.13,3.69
1577,14/7/2018,Western,1107.14,1091.29,-15.85,14.06,32.89,18.83,21.91,22.1,0.19
1578,14/7/2018,Southern,547.26,441.31,-105.95,40.09,46.7,6.61,62.52,63.91,1.39
1579,14/7/2018,Eastern,446.35,462.54,16.19,,,0,69.16,63.32,-5.84
1580,14/7/2018,NorthEastern,30.1,33.41,3.31,,,0,30.46,27.39,-3.07
1581,15/7/2018,Northern,637.99,604.12,-33.87,30.72,30.39,-0.33,314.44,320.79,6.35
1582,15/7/2018,Western,1103.64,1050.78,-52.86,14.06,32.85,18.79,21.91,18.39,-3.52
1583,15/7/2018,Southern,536.69,422.42,-114.27,40.09,46.35,6.26,62.52,62.89,0.37
1584,15/7/2018,Eastern,445.06,453.67,8.61,,,0,69.16,64.51,-4.65
1585,15/7/2018,NorthEastern,30.1,33.33,3.23,,,0,30.46,24.04,-6.42
1586,16/7/2018,Northern,634.79,653.35,18.56,30.72,30.17,-0.55,314.44,314.85,0.41
1587,16/7/2018,Western,1118.83,1083.37,-35.46,14.06,32.84,18.78,21.91,16.56,-5.35
1588,16/7/2018,Southern,546.4,415.13,-131.27,40.09,46.69,6.6,62.52,67.01,4.49
1589,16/7/2018,Eastern,445.06,443.14,-1.92,,,0,69.16,65.5,-3.66
1590,16/7/2018,NorthEastern,30.1,33.34,3.24,,,0,30.46,24.61,-5.85
1591,17/7/2018,Northern,634.98,637.03,2.05,30.72,30.09,-0.63,314.44,318.27,3.83
1592,17/7/2018,Western,1117.9,1104.81,-13.09,14.06,32.59,18.53,21.91,17.74,-4.17
1593,17/7/2018,Southern,549.87,419.15,-130.72,40.09,46.44,6.35,62.52,78.94,16.42
1594,17/7/2018,Eastern,445.06,437.41,-7.65,,,0,69.16,71.55,2.39
1595,17/7/2018,NorthEastern,30.1,34.11,4.01,,,0,30.46,24.09,-6.37
1596,18/7/2018,Northern,634.98,662.89,27.91,30.72,30.35,-0.37,314.44,321.33,6.89
1597,18/7/2018,Western,1128.11,1126.23,-1.88,14.06,31.53,17.47,21.91,16.45,-5.46
1598,18/7/2018,Southern,549.87,446.88,-102.99,40.09,46.1,6.01,62.52,91.51,28.99
1599,18/7/2018,Eastern,445.06,443.31,-1.75,,,0,69.16,76.8,7.64
1600,18/7/2018,NorthEastern,30.1,34.82,4.72,,,0,30.46,22.91,-7.55
1601,19/7/2018,Northern,634.98,651.67,16.69,30.72,30.48,-0.24,314.44,333.96,19.52
1602,19/7/2018,Western,1128.11,1140.64,12.53,14.06,32.83,18.77,21.91,18.57,-3.34
1603,19/7/2018,Southern,549.87,462.68,-87.19,40.09,45.12,5.03,62.52,93.95,31.43
1604,19/7/2018,Eastern,445.06,450.44,5.38,,,0,69.16,77.68,8.52
1605,19/7/2018,NorthEastern,30.1,33.81,3.71,,,0,30.46,22.29,-8.17
1606,20/7/2018,Northern,637.23,634.42,-2.81,30.72,30.46,-0.26,314.44,335.4,20.96
1607,20/7/2018,Western,1129.73,1117.72,-12.01,14.06,32.72,18.66,21.91,16.89,-5.02
1608,20/7/2018,Southern,559.87,472.76,-87.11,40.09,39.76,-0.33,62.52,94.34,31.82
1609,20/7/2018,Eastern,445.06,457.58,12.52,,,0,69.16,63.61,-5.55
1610,20/7/2018,NorthEastern,30.1,34.92,4.82,,,0,30.46,21.31,-9.15
1611,21/7/2018,Northern,637.23,554.25,-82.98,30.72,30.52,-0.2,314.44,336.38,21.94
1612,21/7/2018,Western,1120.84,1079.2,-41.64,14.06,32.91,18.85,21.91,15.96,-5.95
1613,21/7/2018,Southern,564.78,450.87,-113.91,40.09,41.01,0.92,62.52,96.05,33.53
1614,21/7/2018,Eastern,445.06,428,-17.06,,,0,69.16,56.83,-12.33
1615,21/7/2018,NorthEastern,30.1,31.64,1.54,,,0,30.46,21.01,-9.45
1616,22/7/2018,Northern,650.83,505.3,-145.53,30.72,30.56,-0.16,314.44,335.16,20.72
1617,22/7/2018,Western,1117.89,974.06,-143.83,14.06,32.91,18.85,21.91,16.24,-5.67
1618,22/7/2018,Southern,573.78,426.55,-147.23,40.09,47.62,7.53,62.52,86.92,24.4
1619,22/7/2018,Eastern,445.06,401.62,-43.44,,,0,69.16,58.34,-10.82
1620,22/7/2018,NorthEastern,30.1,30.67,0.57,,,0,30.46,23.46,-7
1621,23/7/2018,Northern,650.83,540.27,-110.56,30.72,27.51,-3.21,314.44,315.3,0.86
1622,23/7/2018,Western,1116.71,1050.15,-66.56,14.06,32.89,18.83,21.91,20.45,-1.46
1623,23/7/2018,Southern,582.56,450.42,-132.14,40.09,53.77,13.68,62.52,101.16,38.64
1624,23/7/2018,Eastern,445.06,435.66,-9.4,,,0,69.16,69.04,-0.12
1625,23/7/2018,NorthEastern,30.1,30.4,0.3,,,0,30.46,26.4,-4.06
1626,24/7/2018,Northern,650.83,571.32,-79.51,30.72,30.54,-0.18,314.44,334.45,20.01
1627,24/7/2018,Western,1088.1,1080.71,-7.39,14.06,32.74,18.68,21.91,24.4,2.49
1628,24/7/2018,Southern,572.08,468.73,-103.35,40.09,56.07,15.98,62.52,106.95,44.43
1629,24/7/2018,Eastern,445.06,450.98,5.92,,,0,69.16,75.42,6.26
1630,24/7/2018,NorthEastern,30.1,33.6,3.5,,,0,30.46,24.3,-6.16
1631,25/7/2018,Northern,650.83,549.15,-101.68,30.72,30.54,-0.18,314.44,325.77,11.33
1632,25/7/2018,Western,1090.53,1036.5,-54.03,14.06,32.74,18.68,21.91,19.67,-2.24
1633,25/7/2018,Southern,568.08,482.9,-85.18,40.09,55.2,15.11,62.52,111.66,49.14
1634,25/7/2018,Eastern,450.92,431.95,-18.97,,,0,69.16,73.84,4.68
1635,25/7/2018,NorthEastern,30.1,33.7,3.6,,,0,30.46,24.49,-5.97
1636,26/7/2018,Northern,658.16,463.16,-195,30.72,30.63,-0.09,314.44,301.48,-12.96
1637,26/7/2018,Western,1108.21,976.12,-132.09,14.06,32.82,18.76,21.91,19.54,-2.37
1638,26/7/2018,Southern,573.65,472.4,-101.25,40.09,54.96,14.87,62.52,108.32,45.8
1639,26/7/2018,Eastern,452.09,412.88,-39.21,,,0,69.16,74.91,5.75
1640,26/7/2018,NorthEastern,30.1,32.95,2.85,,,0,30.46,23.98,-6.48
1641,27/7/2018,Northern,658.16,440.49,-217.67,30.72,30.66,-0.06,314.44,307.9,-6.54
1642,27/7/2018,Western,1108.21,1000.83,-107.38,14.06,32.83,18.77,21.91,18.65,-3.26
1643,27/7/2018,Southern,573.65,479.1,-94.55,40.09,59,18.91,62.52,115.43,52.91
1644,27/7/2018,Eastern,452.09,424.56,-27.53,,,0,69.16,79.08,9.92
1645,27/7/2018,NorthEastern,30.1,33.58,3.48,,,0,30.46,22.92,-7.54
1646,28/7/2018,Northern,658.16,452.05,-206.11,30.72,30.61,-0.11,314.44,297.18,-17.26
1647,28/7/2018,Western,1097.91,1036.85,-61.06,14.06,32.75,18.69,21.91,21.15,-0.76
1648,28/7/2018,Southern,573.65,480.37,-93.28,40.09,59.67,19.58,62.52,114.37,51.85
1649,28/7/2018,Eastern,452.09,444.38,-7.71,,,0,69.16,78.22,9.06
1650,28/7/2018,NorthEastern,30.1,34.86,4.76,,,0,30.46,23.74,-6.72
1651,29/7/2018,Northern,658.15,441.93,-216.22,30.72,30.44,-0.28,314.44,331.92,17.48
1652,29/7/2018,Western,1097.91,1067.84,-30.07,14.06,32.75,18.69,21.91,19.04,-2.87
1653,29/7/2018,Southern,577.65,462.69,-114.96,40.09,63.16,23.07,62.52,106.24,43.72
1654,29/7/2018,Eastern,452.09,431.32,-20.77,,,0,69.16,74.56,5.4
1655,29/7/2018,NorthEastern,30.1,32.58,2.48,,,0,30.46,23.31,-7.15
1656,30/7/2018,Northern,658.15,475.79,-182.36,30.72,30.6,-0.12,314.44,349.96,35.52
1657,30/7/2018,Western,1095.63,1137.68,42.05,14.06,32.64,18.58,21.91,23.76,1.85
1658,30/7/2018,Southern,586.15,494.6,-91.55,40.09,63.78,23.69,62.52,118.13,55.61
1659,30/7/2018,Eastern,452.09,474.02,21.93,,,0,69.16,70.28,1.12
1660,30/7/2018,NorthEastern,30.1,31.07,0.97,,,0,30.46,22.65,-7.81
1661,31/7/2018,Northern,658.15,529.9,-128.25,30.72,30.58,-0.14,314.44,357.01,42.57
1662,31/7/2018,Western,1106.43,1120.73,14.3,14.06,32.28,18.22,21.91,19.68,-2.23
1663,31/7/2018,Southern,590.15,492.32,-97.83,40.09,63.87,23.78,62.52,98.47,35.95
1664,31/7/2018,Eastern,464.09,474.24,10.15,,,0,69.16,52,-17.16
1665,31/7/2018,NorthEastern,30.1,31.28,1.18,,,0,30.46,23.82,-6.64
1666,1/8/2018,Northern,669.65,558.75,-110.9,30.72,30.8,0.08,327.74,352.26,24.52
1667,1/8/2018,Western,1094.18,1134.38,40.2,25.06,29.99,4.93,43.32,17.41,-25.91
1668,1/8/2018,Southern,609.71,495.37,-114.34,44.55,50.12,5.57,84.41,94.56,10.15
1669,1/8/2018,Eastern,443.45,451.18,7.73,,,0,77.99,50.44,-27.55
1670,1/8/2018,NorthEastern,30.1,33.12,3.02,,,0,31.81,26.72,-5.09
1671,2/8/2018,Northern,669.65,598.95,-70.7,30.72,30.73,0.01,327.74,348.15,20.41
1672,2/8/2018,Western,1104.18,1166.09,61.91,25.06,30,4.94,43.32,24.76,-18.56
1673,2/8/2018,Southern,609.71,494.12,-115.59,44.55,25.46,-19.09,84.41,105.75,21.34
1674,2/8/2018,Eastern,444.77,444.8,0.03,,,0,77.99,57.08,-20.91
1675,2/8/2018,NorthEastern,30.1,32.41,2.31,,,0,31.81,29.24,-2.57
1676,3/8/2018,Northern,669.65,612.07,-57.58,30.72,30.59,-0.13,327.74,343.92,16.18
1677,3/8/2018,Western,1107.12,1181.37,74.25,25.06,30.02,4.96,43.32,23.43,-19.89
1678,3/8/2018,Southern,609.71,512.28,-97.43,44.55,25.3,-19.25,84.41,108.54,24.13
1679,3/8/2018,Eastern,444.77,455.76,10.99,,,0,77.99,63.57,-14.42
1680,3/8/2018,NorthEastern,30.1,34.13,4.03,,,0,31.81,29.51,-2.3
1681,4/8/2018,Northern,664.65,637.84,-26.81,30.72,26.66,-4.06,327.74,338.35,10.61
1682,4/8/2018,Western,1107.12,1178.96,71.84,25.06,30.11,5.05,43.32,19.44,-23.88
1683,4/8/2018,Southern,611.32,506.79,-104.53,44.55,25.28,-19.27,84.41,101.55,17.14
1684,4/8/2018,Eastern,448.09,464.57,16.48,,,0,77.99,80.25,2.26
1685,4/8/2018,NorthEastern,30.1,35.77,5.67,,,0,31.81,26.65,-5.16
1686,5/8/2018,Northern,667.84,612.98,-54.86,30.72,30.59,-0.13,327.74,332.76,5.02
1687,5/8/2018,Western,1101.07,1144.45,43.38,25.06,30.12,5.06,43.32,12.51,-30.81
1688,5/8/2018,Southern,611.32,477.93,-133.39,44.55,25.25,-19.3,84.41,99.07,14.66
1689,5/8/2018,Eastern,444.09,451.04,6.95,,,0,77.99,79.19,1.2
1690,5/8/2018,NorthEastern,30.1,33.87,3.77,,,0,31.81,26.24,-5.57
1691,6/8/2018,Northern,667.84,594.42,-73.42,30.72,30.62,-0.1,327.74,330.75,3.01
1692,6/8/2018,Western,1106.92,1166.65,59.73,25.06,30.12,5.06,43.32,16.55,-26.77
1693,6/8/2018,Southern,611.32,498.24,-113.08,44.55,26.11,-18.44,84.41,98.38,13.97
1694,6/8/2018,Eastern,445.4,444.86,-0.54,,,0,77.99,79.49,1.5
1695,6/8/2018,NorthEastern,30.1,31.16,1.06,,,0,31.81,25.92,-5.89
1696,7/8/2018,Northern,656.82,625.15,-31.67,30.72,30.6,-0.12,327.74,284.99,-42.75
1697,7/8/2018,Western,1106.92,1214.15,107.23,25.06,30.12,5.06,43.32,20.41,-22.91
1698,7/8/2018,Southern,611.32,495.79,-115.53,44.55,26.13,-18.42,84.41,105.44,21.03
1699,7/8/2018,Eastern,445.4,453.8,8.4,,,0,77.99,76.17,-1.82
1700,7/8/2018,NorthEastern,30.1,34.48,4.38,,,0,31.81,24.12,-7.69
1701,8/8/2018,Northern,655.94,637.84,-18.1,30.72,30.6,-0.12,327.74,291.62,-36.12
1702,8/8/2018,Western,1106.92,1262.6,155.68,25.06,30.03,4.97,43.32,23.29,-20.03
1703,8/8/2018,Southern,611.32,469.21,-142.11,44.55,26.18,-18.37,84.41,121.15,36.74
1704,8/8/2018,Eastern,445.4,453.1,7.7,,,0,77.99,75.83,-2.16
1705,8/8/2018,NorthEastern,30.1,35.48,5.38,,,0,31.81,24.44,-7.37
1706,9/8/2018,Northern,655.94,672.69,16.75,30.72,30.46,-0.26,327.74,271.04,-56.7
1707,9/8/2018,Western,1117.18,1243.99,126.81,25.06,30.06,5,43.32,19.97,-23.35
1708,9/8/2018,Southern,611.32,486.37,-124.95,44.55,25.34,-19.21,84.41,124.72,40.31
1709,9/8/2018,Eastern,445.4,466.52,21.12,,,0,77.99,79.67,1.68
1710,9/8/2018,NorthEastern,30.1,34.88,4.78,,,0,31.81,25.98,-5.83
1711,10/8/2018,Northern,655.94,717.07,61.13,30.72,30.42,-0.3,327.74,289.19,-38.55
1712,10/8/2018,Western,1111.98,1231.8,119.82,25.06,29.98,4.92,43.32,20.88,-22.44
1713,10/8/2018,Southern,610.87,479.03,-131.84,44.55,25.01,-19.54,84.41,134.4,49.99
1714,10/8/2018,Eastern,430.87,465.25,34.38,,,0,77.99,83.06,5.07
1715,10/8/2018,NorthEastern,30.1,36.55,6.45,,,0,31.81,25,-6.81
1716,11/8/2018,Northern,655.94,670,14.06,30.72,30.58,-0.14,327.74,315.08,-12.66
1717,11/8/2018,Western,1127.98,1183.94,55.96,25.06,30.14,5.08,43.32,16.12,-27.2
1718,11/8/2018,Southern,610.87,445.82,-165.05,44.55,25.25,-19.3,84.41,118.22,33.81
1719,11/8/2018,Eastern,430.87,449.78,18.91,,,0,77.99,81.85,3.86
1720,11/8/2018,NorthEastern,30.1,32.16,2.06,,,0,31.81,23.75,-8.06
1721,12/8/2018,Northern,656.79,596.89,-59.9,30.72,29.91,-0.81,327.74,336.43,8.69
1722,12/8/2018,Western,1127.98,1141.18,13.2,25.06,30.17,5.11,43.32,14.2,-29.12
1723,12/8/2018,Southern,610.87,369.84,-241.03,44.55,25.33,-19.22,84.41,117.5,33.09
1724,12/8/2018,Eastern,430.87,427.46,-3.41,,,0,77.99,63.78,-14.21
1725,12/8/2018,NorthEastern,30.1,30.52,0.42,,,0,31.81,23.77,-8.04
1726,13/8/2018,Northern,657.67,629.39,-28.28,30.72,28.44,-2.28,327.74,309.32,-18.42
1727,13/8/2018,Western,1127.98,1204.19,76.21,25.06,30.04,4.98,43.32,20.69,-22.63
1728,13/8/2018,Southern,610.87,390.39,-220.48,44.55,25.33,-19.22,84.41,138.84,54.43
1729,13/8/2018,Eastern,430.87,432.54,1.67,,,0,77.99,65,-12.99
1730,13/8/2018,NorthEastern,30.1,30.71,0.61,,,0,31.81,24.11,-7.7
1731,14/8/2018,Northern,660.9,649.18,-11.72,30.72,29.99,-0.73,327.74,301.93,-25.81
1732,14/8/2018,Western,1127.98,1247.33,119.35,25.06,30.07,5.01,43.32,32.93,-10.39
1733,14/8/2018,Southern,610.87,422.99,-187.88,44.55,25.34,-19.21,84.41,157.34,72.93
1734,14/8/2018,Eastern,430.87,441.61,10.74,,,0,77.99,78.76,0.77
1735,14/8/2018,NorthEastern,30.1,31.74,1.64,,,0,31.81,23.37,-8.44
1736,15/8/2018,Northern,660.9,578.89,-82.01,30.72,29.63,-1.09,327.74,336.9,9.16
1737,15/8/2018,Western,1136.13,1174.45,38.32,25.06,30.19,5.13,43.32,16.67,-26.65
1738,15/8/2018,Southern,597.37,377.84,-219.53,44.55,25.42,-19.13,84.41,139.81,55.4
1739,15/8/2018,Eastern,423.84,412.94,-10.9,,,0,77.99,69.09,-8.9
1740,15/8/2018,NorthEastern,30.1,31.5,1.4,,,0,31.81,23.36,-8.45
1741,16/8/2018,Northern,660.9,594.69,-66.21,30.72,30.53,-0.19,327.74,343.23,15.49
1742,16/8/2018,Western,1135.88,1167.52,31.64,25.06,30.19,5.13,43.32,19.76,-23.56
1743,16/8/2018,Southern,608.87,366.79,-242.08,44.55,26.29,-18.26,84.41,152.37,67.96
1744,16/8/2018,Eastern,423.84,431.46,7.62,,,0,77.99,69.5,-8.49
